gene_id	RCC_115	RCC_90	RCC_41	RCC_73	RCC_105	PD_007T	PD_011T	PD_012T	PD_018T	PD_019T	PD_020T	PD_022T	PD_024T	PD_026T	RCC_14	RCC_93	RCC_96	RCC_102	RCC_117	RCC_106	RCC_18	RCC_21	RCC_50	RCC_27	PD_005T	PD_010T	PD_013T	PD_014T	PD_015T	PD_021T	PD_023T	PD_025T	RCC_99
SMNDC1	12.45	1.54	5.12	6.77	6.88	11.15	13.28	11.01	10.71	9.57	6.87	7.33	14.69	13.51	3.95	4.53	13.91	4.73	6.57	17.28	3.59	12.33	5.23	17.03	7.94	5.81	7.04	9.45	9.67	19.59	8.15	8.95	6.67
C10orf88	4.79	1.97	6.69	2.66	1.97	6.09	3.44	2.73	1.63	3.91	1.74	3.94	3.27	5.62	3.19	3.9	4.72	1.39	2.44	3.11	1.48	6.62	2.15	4.35	3.05	3.44	1.31	3.72	2.28	3.53	1.85	2.11	1.58
HELLS	6.11	2.44	1.05	4.17	6.25	11.2	12.66	7.06	6.16	8.07	7.88	4.73	14.97	14.79	2.01	3.31	5.71	3.04	3.91	6.69	0.48	1.71	7.1	8.9	3.93	7.29	4.13	5.34	3.81	18.42	7.75	7.22	4.94
PRLHR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCTN3	33.22	7.71	37.36	41.95	38.38	18.05	16.18	16.9	16.98	14.38	9.5	11.21	14.58	14.3	22.51	36.23	26	31.4	37.9	27.47	10.56	59.61	22.01	35.28	27.21	6.95	10.72	13.69	20.2	26.34	9.62	11.99	55.49
FAM45A	26.11	15.62	28.4	13.3	8.05	17.73	29.69	27.2	46.1	24.29	22.08	25.78	55.98	75.45	19.17	20.42	28.28	9.94	10.96	31.59	17.9	22.29	16.22	36.04	29.89	19.23	33.86	32.15	44.66	56.53	23.75	36.45	18.52
AVPI1	1.64	0.22	0.73	4.81	6.47	0.44	0.65	0.57	0.12	0.4	0.46	0.17	0.4	0.36	1.69	2.09	5.11	6.48	6.11	5.51	5.34	4.04	3.16	7.26	0.75	0.2	0.34	0.3	0.47	0.63	0.35	0.53	0.62
WDR11	26.83	6.4	16.73	18.11	12.32	21.98	55.56	39.92	48.33	31.77	26.27	22.91	44.86	59.22	8.19	15.26	20.41	13.15	20.81	29.27	5.67	17.15	12.78	34.05	46.8	21.51	21.92	34.07	34.05	63.17	39.02	43.53	10.95
C10orf76	10.17	1.67	8.35	10.28	9.28	7.75	16.97	8.72	9.07	9.56	6.61	9.38	16.05	14.96	6.68	14.52	10.06	12.86	18.38	12.82	2.62	9.84	10.06	9.33	7.63	8.83	5.39	10.13	8.51	19.89	10.29	12.24	5.88
KCNIP2	2.1	0.14	0.47	0.3	0.23	0.88	4.32	0.78	0.85	2.94	0.91	1.01	1.71	1.6	0.55	0	0.33	1.19	0.85	12.17	0	2.38	0	0	1.18	4.93	0.96	1.14	1.82	0.91	1.47	1.33	0
CFAP58	1.15	0	0.68	0	0	0.33	0.71	0.51	0.22	0.25	0.05	0.11	1.3	0.58	0.22	0.49	0.48	0.12	0.17	0.6	0.24	0	0	0.39	0.64	0.5	0.26	0.39	0.47	2.84	0.29	0.58	0
GOT1	78.49	4.7	102.9	24.98	42.81	5.37	37.63	60.74	34.16	31.14	13.06	20.17	5.56	80.03	32.25	14.54	94.82	65.29	57.49	52.39	87.82	24.08	22.46	70.26	31.25	8.54	6.65	7.87	21.85	63.46	4.71	16.91	51.36
CPN1	0	0	0	0	0	0	0	1.35	0	0	0	0	0	0	0	1.53	5.63	0	0	0	17.59	0.3	0	0	0	0	0	0	0	2.16	0	0	0
SFRP5	0.31	0	0	0.99	0	0.01	0	0.06	0.04	0.04	0.06	0	0.77	0.03	0	0	0	0.23	0	0	1.88	0	0	0	0	0.05	0.07	0.12	0.01	0	0	0.02	0
GNA13	23.26	2.13	29.53	13.28	16.23	27.75	24.84	25.92	25.75	10.13	13.94	18.53	22.71	14.78	14.45	21.21	29.27	6.85	10.71	29.84	4.96	22.5	16.24	27.54	19.77	11.2	18.28	16.83	14.74	29.31	15.7	24.28	12.27
HOXB8	5.24	1.19	1.1	17.88	10.86	3.78	3.79	0.75	0.64	3.79	0.6	1.52	2.69	19.74	0.43	0	20.52	5.71	4.51	2.68	0	6.8	1.03	0	0.36	1.01	0.72	0.58	0.44	14.07	1.19	0.95	0
KANSL1	14.75	0.58	9.96	15.97	19.14	71.17	88.24	52.65	49.8	43.46	31.93	29.04	102.21	89.37	4.8	14.96	20.25	9.05	6.78	24.15	11.48	17.85	6.14	13.87	33.39	29.98	14.43	54.74	47.11	92.63	40.29	48.22	6.76
HOXB5	2.16	0.3	0	2.34	2.03	0.39	0.31	0.16	0.38	0.97	0.14	0.09	0.77	2.23	0.19	1.72	2.69	2.69	3.77	1.21	0.21	2.14	0.3	2.74	0.01	0.44	0.09	0.21	0.1	0.35	0.21	0.24	0
CRHR1	0	0	0	41.72	0	0.14	0	20.52	0.13	0	0.05	0	0	0.09	0	0	0.71	0	0	3.84	0	0.41	0	0	0.1	0.01	0.94	0.17	0.18	1.48	0	0.08	0
HOXB3	12.09	0.46	1.43	5.86	1.37	8.43	7.2	2.06	4.11	4.9	1.61	2.99	8.31	41.51	3.25	0.45	15.61	6.1	2.07	23.15	0.18	5.39	1.31	2.42	0.48	5.53	1.58	2.73	1.93	9.62	2.54	3.84	1.08
HOXB1	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP1	22.4	15.61	28.24	24.26	7.32	22.56	70.14	92.46	41.98	74.3	23.56	133.36	10.46	6.2	23.57	133.23	83.12	37.69	34.07	69.4	14.29	118.44	18.63	122.63	64.27	56.52	99.1	133.37	43	93.17	110.61	73.64	373.83
PANK3	10.58	1.68	8.84	4.57	3.69	19.13	31.09	28.78	25.88	16.96	13.34	16.55	17.66	25.3	3.54	7.61	15.8	1.54	11.54	15.49	7.03	6.68	4.26	19.8	23.77	12.26	11.48	16.14	16.47	41	15.18	18.25	5.68
MSX2	0.24	0.67	0.22	0.52	0.2	0.13	0.27	0.17	0.23	0.2	0.38	0.26	0.45	0.03	0.51	4.51	4.94	0	0	0	0.37	1.2	0.27	0.61	0.1	0	0.24	0.96	0.39	0.31	0.27	0.36	0.73
TEK	5.11	0.12	3.41	17.06	1.05	4.52	11.21	4.48	3.9	2.79	1.63	11.2	0.73	5.78	0.84	9.64	6.62	3.7	1.3	29.83	3.83	3.29	3.51	11.2	3.16	2.26	6.06	10.83	7.44	3.88	14.47	8.69	0.08
RCL1	4.86	6.82	5.01	5.43	2.15	5.06	10.02	6.06	4.87	11.99	6.37	7.85	11.9	15.32	4.78	11.22	14.04	6.56	8.63	5.73	47.38	4.69	3.44	6.25	4.86	3.91	9.39	21.44	5.66	15.2	12.69	15.08	2.9
CAAP1	8.49	4.06	7.43	7.24	8.12	5.8	9.76	7.08	6.8	9.73	4.79	9.76	12.67	14.47	2.79	6.81	17.55	4.5	6.89	11.63	5.53	9.24	4.44	12.37	5.91	1.96	5.2	9.11	5.27	9.87	5.04	5.16	9.42
EQTN	0	0	0	0	0	0.21	1.37	0.09	0.05	0.16	0.11	0.31	0.54	0.48	0	0	0	0	0	0	0	0	0	0	0.02	0.46	0.17	0.4	0.42	0.47	0.19	0.21	0
MOB3B	5.94	1.98	8.66	1.5	6.83	1.04	4.96	0.62	1.6	0.65	0.51	1.41	2.23	2.83	2.01	0.86	14.82	4.15	5.33	3.15	1.57	0.3	3.09	9.75	1.39	0.9	0.91	1.51	1.59	3.38	0.7	1.19	0.17
INSL6	0	0	0	0	0	0	0.43	0	0	0	0.02	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.21	0.03	0
INSL4	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0
MLANA	0	0	0	0	0	0.09	0.36	0	0.34	0	0.01	0.07	0.69	0.49	0	0	0	0	0	0.33	0	0	0	0	0.19	0.12	0	0.41	0.29	0.55	0.42	0.32	0
CD274	1.25	7.78	2.06	0.31	0.52	3.05	7.91	43.13	4.01	4.55	18.13	5.84	7.32	6.78	1.68	2.92	5.82	0.72	2.16	2.91	0.12	6.24	2.25	12.06	7.33	2.16	3.41	2.92	3.96	9.52	4.08	6.34	1.39
IFNA6	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0.01	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.03	0
IFNA8	0	0	0	0	0	0	0.08	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.07	0	0	0	0
GRIA2	0	0	0	1.16	0	0	0	0	0	0.06	0.27	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.94	0.01	0	0	0.03	0	0.61	0
NUP43	9.59	3.05	7.02	3.16	5.94	12.24	19.55	13.33	12.97	6.32	8.16	11.33	21.14	10.21	3.63	8.09	8.83	5.39	6.36	12.73	2.92	8.77	2.81	29.86	6.01	7.65	5.41	11.83	10.83	23.75	9.49	12.76	3.5
MTHFD1L	10.58	6.18	9.21	8.19	12.14	29.57	28.53	19.19	10.71	19.07	8.47	30.16	25.41	70.48	7.68	24.5	7.4	10.52	17.92	8.35	3.64	21.94	6.18	18.97	13.33	18.58	40.83	17.46	25.57	29.54	22.59	30.23	27.63
LRP11	6.29	0.7	8.84	5.52	2.79	4.74	6.24	7.05	2.75	5.38	2.38	8.28	1.92	24.47	6.73	12.65	16.28	4.17	7.17	24.09	2.79	8.95	5.52	10.79	5.98	4.54	3.25	7.26	6.01	12.18	3.99	5.96	16.23
CCDC170	0.46	0.16	0.99	0.61	0.24	1.07	7.64	2.49	5.73	6.07	1.72	4.27	10.04	1.99	1.1	1.65	4.32	0.07	0.3	2.36	0.14	0.37	0	0.24	7.34	3.66	4.28	7.13	4.1	5.43	12.1	7.05	0.14
PCMT1	32.05	25.49	28.89	41.71	36.57	16.06	21.63	15.26	14.33	9.12	11.91	15	18.42	12.88	24.64	39.11	36.22	35.34	35.05	49.15	26.54	28.3	31.74	44.53	8.05	12.5	9.94	11.32	13.26	20.55	11.31	19.39	24.15
PLEKHG1	3.35	0	2.97	3.97	1.95	16.52	9.78	6.17	5.19	4.22	2.04	7.79	5.18	6.48	1.03	3.15	6.51	1.28	1.09	8.29	1.5	1.49	2.09	6.87	3.77	3.03	9.14	12.41	5.51	9.42	13.38	7.38	0.26
MYCT1	4.09	0.28	5.9	15.92	1.28	2.47	2.96	2.51	0.68	0.37	0.21	2.59	0.38	1.92	0.79	8.91	7.45	7.77	3.83	34.05	6.61	2.22	4.85	14.74	0.54	0.87	2.63	3.31	2.48	1.18	3.53	1.3	0
CXorf21	2.42	4.31	6.47	1.31	1.27	0.19	1	0.66	0.34	0.32	0.96	0.64	1.01	0.2	8.88	6.17	1.13	0.46	6.82	8.14	0.7	3.3	2.02	2.3	0.61	0.28	0.54	1.11	0.37	0.51	1.13	0.92	1.14
MAGEB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYSTM1	329.05	124.77	240.04	98.1	124.35	8.01	22.95	24.02	24.04	15.2	27.5	23.55	18.74	31.97	125.88	51.1	339.15	88.08	246.18	108.19	38.9	195.12	194.75	238.74	49.54	10.74	6.17	12.34	13.69	74.76	8.04	18.6	343.55
WDR55	24.79	4.06	8.24	8.55	9.26	13.08	9.8	11.49	12.92	10.89	6.8	8.6	15.79	13.41	5.76	12.89	27.28	6.29	11.75	13.3	3.68	12.66	6.28	16.82	10.89	8.87	5.72	17.14	6.53	14.9	13.73	10.91	15.13
ARAP3	3.67	0.45	1.41	11.22	1.02	12.47	5.44	3.44	1.73	2.16	0.76	5.47	1.06	3.42	2.26	3.16	9.68	10.91	4.9	23.75	1.83	2.34	3.46	11.72	0.85	2.13	3.96	5.98	3.88	3.32	6.79	5.09	1.49
PCDHB8	0.19	0	1.39	1.35	0.49	11.44	0.95	23.24	1.94	1.81	0.51	1.77	27.12	1.75	0.27	0.27	0.3	0.3	0	0.34	0.55	0.77	0.44	0.49	0.68	4.85	1.88	4.16	2.94	7.16	7.42	19.94	0.29
PCDHB10	0.31	0.17	0.92	2.92	1.52	6.4	3.75	4.96	2.45	2.01	2.14	8.08	9.26	0.75	0.36	1.4	33.92	2.07	0.4	2.11	0.6	0.58	1.6	5.57	2.36	2.5	2.88	6.14	3.68	13.69	5.62	14.46	0
PCDHB14	2.6	0	3.02	4.39	3.53	23.04	15.87	13.38	10.22	5.49	1.59	5.41	10.19	3.02	0.16	2.87	12.1	1.31	1.02	8.01	0.73	1.69	1.7	5.94	2.38	3.97	4.57	15.01	15.1	22	16.87	14.95	0.34
PCDHB12	0	0.17	0.8	3.36	0	17.58	2.61	7.53	1.77	1.45	2.11	2.86	8.23	1.89	0.11	0.57	2.35	0.85	0	0.22	0	0.28	0.51	2.46	1.51	3.27	2.52	9.25	5.32	8.62	5.1	14.07	0
SLC25A2	0	0	0	0	0	0.41	0.15	0.44	0.01	0.14	0.11	0	0.2	0.05	0	0	0	0	0	0	0	0	0	0	0.06	0.22	0.11	0.63	0.18	0.29	0.57	0.29	0
TNN	0.1	0	0.18	0.65	0.08	0.06	0.35	0.1	0	0.07	0	0.14	0.02	0.13	0	0.63	0.37	2.86	0	4.27	0.61	0.39	0	1	0.08	0.1	0.14	0.08	0.19	0.04	0.3	0.2	0
MRPS14	32.47	21.7	14.22	24.59	17.81	2.78	1.16	2.32	1.82	2.35	1.23	2.34	1.71	2.66	9.44	16.71	26.4	17.83	15.51	20.86	11.06	16.45	26.21	23.07	2.06	1.35	1.65	1.06	1.81	3.36	1.8	1.9	14.32
CENPL	3.36	5.28	1.98	2.24	0.37	1.71	1.98	1.15	1.29	0.48	0.68	1.23	3.05	0.98	1.4	4.6	2.93	1.1	1.53	5.53	3.34	6.09	1.3	3.7	1.01	0.68	0.52	0.56	0.46	1.33	1.05	0.94	4.86
TNFSF18	0.28	0.78	1.01	0.61	0.24	0.13	0.14	0.13	0.1	0.24	0.01	0.07	0.09	0.03	0	1.44	1.03	0.65	3.04	13.74	0	1.12	0.63	0.72	0.05	0.01	0.49	0.14	0.06	0.04	0.06	0.01	0
SEC16B	9.71	0.54	5.13	2.07	1.71	6.22	11.95	4.18	7.18	3.87	1.61	3.46	6.18	2.45	0.81	1.99	7.97	6.08	4.76	20.07	8.41	3.27	1.02	5.78	5.33	4.86	2.98	7.38	7.46	6.05	5.18	2.1	6.32
GORAB	12.54	16.06	3.98	4.31	5.72	9.36	8.35	6.99	9.76	8.03	6.32	5.14	12.9	9.97	2.1	8.22	12.06	1.53	5.02	9.64	1.62	13.37	4.45	20.06	5.87	5.83	6.76	8.75	5.7	11.15	6.99	6.87	10.33
GPR31	0	0	0.24	0	0	0	0.02	0	0.01	0.04	0.01	0.02	0	0	0	0	0	0	1.15	0	0	0.26	0.3	0	0.02	0.03	0	0	0	0	0.02	0	0
ACAT2	8.66	12.53	15.05	4.66	10.8	2.97	4.65	8.12	4.83	3.01	6.06	3.3	5.45	5.84	14.05	17	7.05	13.98	22.29	15.42	45	12.71	8.52	13.99	6.55	3.65	4.69	2.98	5.47	9.92	4.67	5.29	15.62
TCP1	87.04	28.2	70.22	69.38	90.47	27.55	42.06	31.41	35.94	19.97	21.9	41.42	42.93	37.44	49.35	70.49	70.38	57.93	57.74	87.68	27.95	73.72	50.07	121.37	23.41	29.26	21.99	32.26	40.1	50.16	25.82	30.24	67.26
TTLL2	0	0	0	0	0	0.35	0.36	0.03	0.11	0	0	0.09	0.13	0	0	0	0	0	0	0	0.41	0	0	0	0.18	0.68	0.01	0	0.17	0.08	0.03	0	0.2
SNX19	20.1	3.67	16.96	6.48	4.54	32.59	35.5	26.21	24.74	17.96	20.33	20.8	42.22	67.05	5.43	23.92	30.53	3.16	10.99	14.09	7.83	38.21	7.26	40.06	28.56	8.71	18.77	19.6	26.98	53.16	18.75	32.14	12.87
KCNJ5	2.38	0.64	9.36	6	0.55	4.4	2.94	8.75	2.79	0.81	1.21	0.77	1.69	1.15	3.24	8.09	6.33	1.36	9.79	8.15	1.14	1.78	3.09	21.38	1.71	0.92	3.76	3.07	2.39	57.51	3.16	7.19	0.44
MSANTD2	3.77	2.52	1.22	5.7	1.12	3.82	4.99	2.28	1.72	1.49	1.05	2.28	3.83	7.1	0.81	1.8	6.91	3.42	4.32	6.36	0.9	2.32	2.33	2.9	1.04	1.74	1.76	2.35	2.8	3.75	3.79	2.1	1.08
TP53AIP1	0.38	0	0	0.22	0	0.74	0.01	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0	0.74	0	0	0	0.01	0.09	0	0	0	0.28	0	0.01	0
TEX11	0	4.83	1.52	0	2.04	0.53	0.78	0.26	2.19	0	0.28	0.07	0.71	0.01	4.63	0.31	0	5.81	16.53	1.46	0	0	0	0	9.47	0	0.51	2.23	4.94	0.2	0.03	0.68	0
ARR3	0	0	0	0	0	1.19	1.92	0.68	0.53	0.8	0.19	0.59	1.15	0.28	0	0	0	0	0	3.12	0	0	0	0	1.04	0.54	0.07	1.58	0.18	1.6	1.2	0.53	0
PDZD11	64.21	119.24	41.42	46.38	56.51	24.8	12.02	17.58	11.52	10.18	7.49	11.52	8.39	15.68	33.35	88.25	73.88	41.08	46.01	44.15	19.23	68.48	58.51	82.54	16.44	6.13	9.16	8.78	10.96	25.94	13.85	11.02	94.77
SLC10A7	3.5	0.54	4.02	1.78	2.17	9.19	7.89	4.59	4.14	2.23	4.22	4.13	5.43	5.44	1.54	5.17	5.83	1.37	0.88	4.95	1.59	3.39	2.77	2.66	4.36	1.72	3.81	5.49	4.29	9.15	4.78	4.6	2.14
NUDCD1	7.96	5.38	9.02	5.2	7.78	4.47	5.39	2.53	4.38	5.3	2.31	4.62	4.58	4.05	4.19	11.75	11.32	2	3.68	8.31	2.28	8.06	4.63	8.98	2.41	3.81	3.75	3.04	4.08	4.63	3.47	2.88	10.94
ENY2	142.15	186.74	184.32	77.39	114.35	88.46	91.06	83.62	81.15	70.13	49.07	87.75	70.96	82.13	89.24	157.81	145.51	93.53	137.94	101.78	59.79	68.71	68.89	152.28	85.4	46.98	89.77	66.75	61.79	128.6	64.89	65.94	152.5
MASTL	3.39	1.19	2.8	0.57	2.27	16.24	11.43	8.13	11.63	3.58	7.14	5.21	11.63	10.69	2.62	3.22	7.21	1.04	1.34	7.88	1.16	4.6	1.91	8.59	6.86	4.49	5.08	6.71	9.05	16.09	9.58	7.33	3.95
KIAA1217	10.73	0.53	4.88	10.71	6.77	28.15	30.99	33.91	17.69	13.02	11.49	19.82	19.57	41.44	4.29	5.34	24.39	5.22	2.98	18.07	1.76	5.14	4.23	9.82	26.5	15.11	17.07	23.83	30.04	71.21	17.51	19.45	1.2
LYZL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0
PLXDC2	26.64	1.62	43.66	11.13	29.15	33.44	82.23	151.29	86.19	43.23	32.84	39.62	96.87	17.71	15.12	48.72	44.31	11.53	23.89	30.08	1.66	15.27	33.08	20.75	79.37	16.61	47.31	56.86	60.24	99.37	95.78	108.92	5.31
EPC1	10.37	0.86	6.87	8.38	5.06	21.26	27.95	12.28	20.17	9.7	9.59	12.45	35.68	19.06	6.06	8.31	13.73	3.73	7.89	16.22	2.85	9.11	4.12	11.55	9.38	10.01	10.42	18.59	15.64	30.49	16.96	16.13	3.13
IQSEC3	1.13	0	0.06	0.21	0.06	0.09	0.74	0.12	0.5	0.06	0.32	0.42	0.78	0.31	0.05	0.09	12.15	0.38	4.7	0.81	0.05	0.07	0	0.18	0.05	0.95	0.63	0.36	0.48	5.35	0.19	0.86	0.15
CCDC77	5.72	1.46	5.37	3.13	4.67	5.35	12.38	6.25	6.38	3.36	5.25	5.75	9.78	8.81	5.36	8.74	7.4	3.15	3.41	3.78	4.63	7.15	3.99	9.14	4.89	4.46	3.49	7.58	7.68	8.09	8.5	7.5	5
TAF12	18.4	8.94	10.65	11.73	15.63	5.6	3.35	4.33	3.57	3.88	2.17	5.02	5.82	2.07	16.69	14.65	19.52	9.55	15.14	18.1	7.05	14.47	12.61	16.14	4.81	2.42	2.89	3.83	3.17	7.29	2.44	3.11	12.44
ENOX1	1.82	0	0	0.66	0.34	0.87	0.92	0.54	0.7	1.45	0.5	2.06	0.7	0.29	0.29	5.08	8.32	2.92	0.44	1.21	0.16	0.49	0.46	2.05	0.22	0.66	1.7	1.79	0.5	1.64	1.34	0.63	0.37
TNFSF11	0.96	0.14	0	0.28	0	0.43	2.98	0.01	1.96	5.63	0.19	2.63	0	0.05	0	0.33	4.48	0	0	1.42	0	0.91	0	0	2.75	7.09	4.35	3.89	0.25	0.68	1.11	0.06	1.16
MTRF1	10.78	3.98	4.28	5.66	2.67	4.66	4.16	3.44	7.41	2.63	1.04	2.44	5	8.56	2.45	1.02	8.9	2.35	4.68	11.55	0.77	1.04	0.84	6.13	3.84	3.87	2.33	3.1	4.85	4.25	2.24	5.4	4.27
SOHLH2	0.87	0	0.71	0.27	0	0.01	0.11	0.46	0.08	0.02	0.3	0.28	0.59	0.05	0.52	0	0	0	0.27	0	0	0	0	0	0.01	0.19	0.03	0.23	0.07	0.55	0.04	0	2.42
DNAJC15	31.74	19.3	14.89	17.08	3.87	16.55	20.7	16.5	19.83	2.7	7.09	11.12	16.45	12.44	14.04	9.04	7.03	7.43	17.6	18.41	5.66	10.56	9.41	26.51	26.38	5.73	1.87	2.53	12.65	20.55	12.68	13.07	6.8
PROSER1	5.42	2.26	7.69	4.78	4.86	12.5	21.93	12.68	15.61	6.99	8.11	6.75	28.92	17.4	5.02	4.13	27.25	3.94	9.49	9.79	1.26	1.78	3.1	7.1	8.97	7.55	7.99	12.89	16.7	35.05	4.36	14.56	2.32
UFM1	54.66	38.07	63.5	27.71	21.26	11.86	15.21	12.09	12.21	5.29	7.32	12.49	10.2	11.66	12.35	32.12	79.5	14.48	25.91	84.28	20.78	37.21	14.21	59.84	9.95	9.9	11.09	10.44	12.31	13.33	7.97	9.03	44.01
WBP4	11.84	2.01	6.43	4.24	7.91	12.74	13.79	7.97	8.37	3.55	3.19	7.76	12.51	11.76	3.98	7.7	14.46	8.98	6.04	9.42	3.42	5.45	1.59	9.66	11.76	6.38	4.75	9.68	11.61	16.44	10.59	7.3	5.41
ELF1	28.83	4.72	36.95	15.26	13.77	22.23	22.94	11.02	16.94	6.46	10.26	12.65	29.96	11.64	16.54	23.58	29.48	5.93	16.21	34.01	8.51	25.85	10.08	27.5	11.95	6.36	10.6	12.62	13.91	18.35	13.07	15.76	17.54
SMAD9	1.26	0.26	0.89	3.62	4.9	6.84	1.26	2.35	11.62	0.86	0.09	4.44	3.29	0.34	3.63	1.51	7.77	0.72	0.69	9.36	0.07	0.46	1.25	2.08	4.67	5.78	0.61	2.14	3.4	17.32	2.77	1.84	0.14
HSPH1	53.83	6.57	31.68	21.87	49.03	20.03	17.36	10.34	15.79	9.18	13.89	10.74	34.69	25.88	20.27	37.73	32.22	14.83	38.59	25.35	5.65	22.09	17.8	24.27	12.33	6.36	18.38	9.32	10.37	15.95	9.43	12.88	15.12
KBTBD7	9.17	0.35	5.32	2.42	3.19	2.9	6.05	1.8	1.4	0.74	1.09	1.88	4.44	2.4	1.6	3.86	7.57	2.13	4.33	4.75	2.79	2.03	1.79	5.85	2.04	2.34	0.77	2.35	2.18	3.61	1.78	1.91	0.6
ALG5	42.73	63.46	63.92	42.55	73.27	21.12	37.76	24.04	14.85	8.84	17	25.82	22.47	29.82	22.9	47.18	77.1	45.66	69.9	60.39	38.14	35.89	30.41	62.42	25.62	14.72	14.57	13.59	20.2	35.69	13.44	15.15	21.88
EXOSC8	70.86	20.03	13.95	26.12	11.27	14.39	17.3	9.45	13.64	5.71	6.27	8.93	14.78	16.5	5.05	11.43	58.37	18.42	54.38	88.96	8.95	13.78	18.46	21.45	9.8	10.22	7.72	12.58	9.95	15.53	9.36	10.95	19.29
ETF1	50.88	9.49	34.29	23.59	23.63	24.84	17.89	30.87	15.1	14.7	12.7	18.28	16.6	18.9	21.27	34.4	65.29	13.03	22.3	41.19	12.36	28.48	13.87	69.11	21.97	9.31	17.82	21.92	13.76	42.65	13.37	16.53	44.89
TGFBI	123.86	196.33	140.62	3749.6	312.55	938.52	653.21	1498.55	467.19	315.68	40.67	389.75	96.96	18.88	1963.81	8635.2	117.35	124.22	207.62	272.78	402.14	333.04	216.89	703.82	1013.16	409.28	416.61	2570.63	386.11	272.15	2004.18	476.82	43.22
FAM53C	14.57	1.15	7.86	8.3	10.3	27.03	15.25	20.03	10.51	10.13	12.13	8.55	22.08	22.67	5.49	9.08	27.01	3.92	7.98	13.98	3.72	7.31	5.03	33.47	14.44	11.8	19.39	15.22	8.86	27.54	15.57	27.16	10.41
SIL1	76.65	10.71	36.85	26.83	34.5	35.96	37.69	47.78	33.98	19.99	31.6	26.59	53.32	29.39	30	163.01	70.59	91.16	60.96	22.08	36	37.75	44.43	85.43	59.9	22.16	19.33	27.43	26.35	79.65	33.21	35.36	28.25
PAIP2	181.35	123.89	138.79	90.69	141.34	42.33	55.85	62.94	44.53	20.52	35.88	45.81	49.52	33.51	73.44	65.65	171.07	77.49	95.79	85.88	45.35	51.38	82.79	165.23	79.93	32.45	33.33	46.12	38.94	114.04	42.31	55.75	90.71
MYOT	0	0	0	6.78	1.62	1.11	4.8	2.15	7.26	0.27	1.9	2.53	2.09	0.53	0	0	0.29	0.18	0	1.03	1.37	0	0	0	0.73	0.08	1.98	2	3.35	5.39	0.22	0.68	0
KDM3B	36.34	6.45	18.74	15.52	12.29	56.6	71.43	39.37	56.59	26.41	29.72	46.93	72.36	59.72	8.49	13.24	35.71	4.36	12.94	21.03	4.7	10.41	5.84	23.62	45.31	37.65	30.41	58.64	40.22	102.27	42.6	61.64	7.57
EGR1	13.29	0.46	2.49	7.19	26.87	87.33	20.47	156.53	23.3	113.06	45.33	313.53	18.3	19.13	3.27	30.73	14.94	15.84	6.41	63.05	7.85	6.39	4.83	15.84	32.55	10.14	278.86	288.9	72.14	42.91	65.97	17.48	17.31
SERP1	54.53	41.21	104.9	42.73	30.96	7.32	20.53	10.37	13.33	8.87	11.06	8.7	17.25	9.23	33.64	50.42	50.98	35.59	50.59	53.57	39.68	50.2	48.52	67.67	10	10.83	10.55	14.93	11.49	12.4	7.74	9.25	23.69
PLS1	18.83	4.11	31.14	0.72	9.45	2.88	11.9	4.82	22.02	2.79	1.32	9.56	9.36	2.7	5.56	2.09	34.7	5.44	7.56	4.28	7.44	1.64	5.58	8.33	16.91	1.42	1.01	5.43	14.38	10.13	2.83	3.17	5.27
ZFP30	2.8	1.94	4.2	1.91	1.06	5.12	3.58	3.18	1.82	1.78	0.88	3.23	3.19	3.45	1.1	1.27	11.52	0.68	1.46	4.36	0.87	3.17	0.89	12.81	3.15	2.14	1.78	2.18	3.08	3.09	2.78	2.02	0.19
NR2C1	15.43	6.6	9.44	13.53	9.88	10.43	34	11.52	14.06	15.02	9.55	8.89	26.56	22.03	7.54	11.05	22.18	15.19	21.38	20.97	2.76	14.99	10.64	11.19	7.01	9.59	10.32	24.45	16.93	31.61	14.26	14.15	4.29
UTP20	2.12	0.54	3.73	1.76	2.07	13.23	15.71	8.98	14.32	5.48	4.52	9.38	12.29	18.68	0.96	1.89	5.55	1.13	1.39	5.46	0.57	2.87	1.21	2.56	8.22	5.65	8.47	12.24	10.27	19.77	8.07	9.57	1.41
